CO_count,CO_mean,CO_median,CO_stdDev,month,year,zone,date,season
1293,43.0343026969107,43.182387603432595,1.5346630488493,6.0,2019.0,Terai,2019-06-01,Monsoon
1293,37.5440487811055,37.5226655910057,0.9164204561778776,7.0,2019.0,Terai,2019-07-01,Monsoon
1293,35.133136936125,35.1401780588728,0.8027055951227036,8.0,2019.0,Terai,2019-08-01,Monsoon
1293,36.6398074967709,36.6345040902532,0.9165586503441534,9.0,2019.0,Terai,2019-09-01,Monsoon
1293,39.033007741356606,39.0773841359137,1.0379908204957,10.0,2019.0,Terai,2019-10-01,Post-monsoon
1293,43.5757293606972,43.7714355039423,3.2893897779562002,11.0,2019.0,Terai,2019-11-01,Post-monsoon
1293,39.3625889342093,39.8285613936862,2.7332132486429996,12.0,2019.0,Terai,2019-12-01,Winter
1293,42.3076186018604,42.0787775660774,3.2754727669628,1.0,2020.0,Terai,2020-01-01,Winter
1293,45.636878900347696,45.8719268616098,1.9673350856824998,2.0,2020.0,Terai,2020-02-01,Winter
1293,41.8636074125113,42.0764932453079,2.8871823121891,3.0,2020.0,Terai,2020-03-01,Pre-monsoon
1293,44.7999726813241,45.385150212090196,2.2917901755798,4.0,2020.0,Terai,2020-04-01,Pre-monsoon
1293,44.2113570522456,44.282479030070206,1.2267270490066,5.0,2020.0,Terai,2020-05-01,Pre-monsoon
1293,40.523248813779404,40.510662971189404,1.0954778633319,6.0,2020.0,Terai,2020-06-01,Monsoon
